provider,OeMnemonic,ProviderMnemonic,indicator_id,indicator_name,haver_description,haver_long_source,haver_discontinued,date,value
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1990,1058.756
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1991,1079.182
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1992,1106.82
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1993,1158.813
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1994,1224.021
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1995,1279.745
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1996,1337.253
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1997,1426.695
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1998,1489.567
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1999,1555.125
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2000,1662.305
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2001,1740.375
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2002,1797.627
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2003,1892.115
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2004,1988.186
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2005,2107.755
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2006,2220.336
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2007,2347.33
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2008,2391.367
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2009,2295.737
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2010,2376.165
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2011,2445.841
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2012,2529.455
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2013,2616.715
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2014,2746.423
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2015,2831.242
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2016,2921.21
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2017,3063.422
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2018,3157.647
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2019,3364.31
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2020,3251.564
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2021,3601.593
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2022,4056.416
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2023,4217.932
haver-local,,A112GPP@IMFWEO,A112GPP@IMFWEO,UK: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2024,4369.68
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,1990,0.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,1991,0.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,1992,0.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,1993,0.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,1994,0.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,1995,0.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,1996,226.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,1997,223.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,1998,212.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,1999,204.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2000,178.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2001,162.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2002,166.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2003,155.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2004,152.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2005,152.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2006,146.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2007,146.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2008,151.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2009,162.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2010,148.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2011,160.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2012,154.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2013,150.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2014,157.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2015,153.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2016,145.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2017,145.75
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2018,142.91666667
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2019,140.0
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2020,138.91666667
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2021,158.91666667
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2022,165.75
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2023,160.83333333
haver-local,,A9EW@UK,A9EW@UK,"UK: CPI Weight: Food, Alcoholic Beverages & Tobacco (Parts per 1000)",,Office for National Statistics,False,2024,152.187175
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,1990,0.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,1991,0.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,1992,0.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,1993,0.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,1994,0.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,1995,0.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,1996,85.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,1997,87.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,1998,86.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,1999,83.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2000,71.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2001,66.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2002,56.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2003,55.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2004,52.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2005,55.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2006,67.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2007,75.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2008,73.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2009,80.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2010,88.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2011,87.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2012,102.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2013,88.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2014,80.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2015,76.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2016,67.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2017,66.83333333
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2018,64.91666667
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2019,61.16666667
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2020,63.91666667
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2021,59.91666667
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2022,67.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2023,80.0
haver-local,,A9F3@UK,A9F3@UK,UK: CPI Weight: Energy Goods (Parts per 1000),,Office for National Statistics,False,2024,71.61013333
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1990-Q1,98144.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1990-Q2,100606.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1990-Q3,102143.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1990-Q4,103680.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1991-Q1,105632.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1991-Q2,107349.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1991-Q3,108833.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1991-Q4,110093.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1992-Q1,111080.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1992-Q2,113093.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1992-Q3,114392.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1992-Q4,115536.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1993-Q1,117828.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1993-Q2,118893.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1993-Q3,121614.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1993-Q4,123418.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1994-Q1,124673.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1994-Q2,125473.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1994-Q3,127034.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1994-Q4,128769.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1995-Q1,129546.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1995-Q2,131775.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1995-Q3,134456.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1995-Q4,136098.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1996-Q1,138778.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1996-Q2,141537.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1996-Q3,143917.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1996-Q4,146261.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1997-Q1,148217.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1997-Q2,151927.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1997-Q3,154724.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1997-Q4,155080.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1998-Q1,157183.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1998-Q2,159647.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1998-Q3,163345.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1998-Q4,163595.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1999-Q1,165881.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1999-Q2,168797.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1999-Q3,169584.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,1999-Q4,171557.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2000-Q1,174535.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2000-Q2,175903.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2000-Q3,178270.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2000-Q4,179443.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2001-Q1,182018.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2001-Q2,183253.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2001-Q3,186213.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2001-Q4,185501.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2002-Q1,187832.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2002-Q2,188925.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2002-Q3,191205.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2002-Q4,194147.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2003-Q1,195824.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2003-Q2,198101.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2003-Q3,200968.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2003-Q4,203045.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2004-Q1,205008.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2004-Q2,207786.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2004-Q3,209799.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2004-Q4,213207.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2005-Q1,216010.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2005-Q2,216125.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2005-Q3,219475.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2005-Q4,222050.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2006-Q1,222625.0
haver-local,,ABJQQ@UK,ABJQQ@UK,"UK: GDP: Household Final Consumption Expenditure (SA, Mil.Pounds)",,Office for National Statistics,False,2006-Q2,225344.0
